2022-09-15 09:59:11,489 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3b82ea76: startup date [Thu Sep 15 09:59:11 ICT 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-09-15 09:59:17,116 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[T:\KTPM\appActive\apache-activemq-5.15.8\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-15 09:59:17,799 | INFO  | PListStore:[T:\KTPM\appActive\apache-activemq-5.15.8\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-09-15 09:59:17,998 | INFO  | Apache ActiveMQ 5.15.8 (localhost, ID:H51M02-16979-1663210757816-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-09-15 09:59:18,071 | INFO  | Listening for connections at: tcp://H51M02:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-15 09:59:18,076 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-15 09:59:18,082 | INFO  | Listening for connections at: amqp://H51M02:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-15 09:59:18,087 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-15 09:59:18,095 | INFO  | Listening for connections at: stomp://H51M02:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-09-15 09:59:18,098 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-09-15 09:59:18,107 | INFO  | Listening for connections at: mqtt://H51M02:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
